Week	Day	Team1	Team2	B1	B2	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	Result	Patch	Notes	Link	Region
5	2	GV	TL	Azir,Annie,Kalista	Urgot,Ryze,Rumble	Gragas	Sivir,Janna	Hecarim,Orianna	Gnar,Alistar	Rek'Sai,Vayne	Viktor	1	5.11		2oocoJsOSfI	NA
5	2	TIP	C9	Rek'Sai,Azir,Ekko	Ryze,Kalista,Gragas	Alistar	Lee Sin,Sivir	Maokai,Orianna	Rumble,Nocturne	Jinx,Annie	Viktor	1	5.11		tT2-WEOfwTQ	NA
5	2	TSM	CLG	Ekko,Rek'Sai,Bard	Kalista,Gragas,Ryze	Alistar	Rumble,Azir	Jarvan IV,Tristana	Gnar,Sivir	Evelynn,Kog'Maw	Thresh	1	5.11		qZnO46_a1No	NA
5	2	TDK	DIG	Rumble,Jarvan IV,Kalista	Ryze,Alistar,Twisted Fate	Sivir	Gragas,Nautilus	Vladimir,Viktor	Hecarim,Rek'Sai	Corki,Thresh	Azir	2	5.11		d-o29V5HK8E	NA
5	2	T8	NME	Kassadin,Gragas,Alistar	Viktor,Azir,Ryze	Rek'Sai	Kalista,Morgana	Shen,Vladimir	Nautilus,Annie	Olaf,Sivir	Varus	1	5.11		zfh_ZZR64yQ	NA
6	1	TIP	NME	Rek'Sai,Rumble,Kalista	Sivir,Ryze,Yasuo	Nautilus	Nidalee,Alistar	Ahri,Graves	Shen,Ezreal	Gragas,Corki	Braum	1	5.12	Darius Disabled for Week 6	2UBS6AVVCQw	NA
6	1	TDK	TSM	Rumble,Nidalee,Kalista	Ryze,Vladimir,Irelia	Alistar	Lulu,Evelynn	Viktor,Tristana	Gragas,Sivir	Nautilus,Thresh	Ezreal	2	5.12	Darius Disabled for Week 6	Owdn6wVPC84	NA
6	1	C9	TL	Sivir,NOBAN,NOBAN	Ryze,Kalista,Rumble	Alistar	Rek'Sai,Tristana	Fizz,Twisted Fate	Nautilus,Gragas	Corki,Annie	Yasuo	2	5.12	Darius Disabled for Week 6	PhKZ6UsEhek	NA
6	1	CLG	GV	Urgot,Twisted Fate,Hecarim	Ryze,Azir,Kalista	Alistar	Gragas,Jinx	Rumble,Lulu	Nautilus,Sivir	Nidalee,Shen	Orianna	2	5.12	Darius Disabled for Week 6	gMz9sBYRaw8	NA
6	1	DIG	T8	Azir,Gragas,Alistar	Ryze,Kalista,Thresh	Shen	Ezreal,Annie	Evelynn,Diana	Rek'Sai,Sivir	Irelia,Nautilus	Kassadin	1	5.12	Darius Disabled for Week 6	KVyBh-ATOUY	NA
